,date,title,prob_1,prob_5,prob_10,prob_20
12489,2010.01.04 15:12,[IR52 장영실상] 삼성전자 `풀터치 스크린 폰 Jet`,50.0,60.0,70.0,80.0
12490,2010.01.05 16:56,삼성전자 4분기 영업익 3조6700억 예상,70.0,80.0,90.0,95.0
12491,2010.01.06 17:37,삼성전자 모든 제품 모든 지역서 1위 목표,60.0,70.0,80.0,85.0
12492,2010.01.06 17:36,"삼성전자 ""LED TV서만 1조이익 올리겠다""",65.0,75.0,85.0,90.0
12493,2010.01.06 17:22,삼성전자 사상 최고가 2.3%올라 84만1000원,55.0,65.0,75.0,80.0
12494,2010.01.07 17:33,삼성전자 실적 비결은 `SEC`,45.0,55.0,65.0,70.0
12495,2010.01.08 15:19,삼성전자·하이닉스·LG디스플레이 즐거운 中 춘제랠리,50.0,60.0,70.0,75.0
12496,2010.01.08 14:47,[BUSINESS INSIDE] 2% 부족한 삼성전자,40.0,50.0,60.0,65.0
12497,2010.01.11 12:32,"삼성전자 바이오시밀러, 세종시 입주 ""사실무근""",30.0,40.0,50.0,55.0
12498,2010.01.13 17:26,[부음] 최언식씨(삼성전자 부장) 부친상,20.0,30.0,40.0,45.0
12499,2010.01.13 17:25,[부음] 조현주씨(삼성전자 글로벌마케팅실 브랜드전략팀 상무) 모친상,25.0,35.0,45.0,50.0
12500,2010.01.19 17:43,삼성전자 부스 20년만에 66배 커졌죠,60.0,70.0,80.0,85.0
12501,2010.01.19 17:29,"삼성전자 ""카메라도 1등 하겠다""",55.0,65.0,75.0,80.0
12502,2010.01.20 15:07,"[인도 한국기업] 삼성전자, LCD TV·휴대폰 빅2 전략 히트",65.0,75.0,85.0,90.0
12503,2010.01.20 04:00,‘삼성전자 신사업추진단’의 고민,50.0,60.0,70.0,75.0
12504,2010.01.20 04:00,삼성전자 세계 최대 전자기업 등극,70.0,80.0,90.0,95.0
12505,2010.01.21 17:14,[부음] 김정혜씨(삼성전자 과장) 부친상,25.0,35.0,45.0,50.0
12506,2010.01.26 17:44,삼성전자와 애플의 차이점,40.0,50.0,60.0,65.0
12507,2010.01.26 17:37,"[종목 포커스] 테스, 삼성전자 납품 호재로 3.4%↑",60.0,70.0,80.0,85.0
12508,2010.01.26 17:29,[부음] 김운석씨(삼성전자 DM연구소 책임연구원) 별세,30.0,40.0,50.0,55.0
12509,2010.01.27 18:01,"삼성전자, 김치냉장고 시장 `2연패`",45.0,55.0,65.0,70.0
12510,2010.01.27 17:46,삼성전자 부사장 자살로 본 `임원 스트레스`,35.0,45.0,55.0,60.0
12511,2010.01.27 07:52,"삼성전자 TVㆍ휴대폰사업부, 연봉 50% 성과급으로 받는다",50.0,60.0,70.0,75.0
12512,2010.01.27 04:00,펀드매니저 상반기 전략…삼성전자 더 사고 SKT 팔고,40.0,50.0,60.0,65.0
12513,2010.01.28 07:00,삼성전자 바이오시밀러 오송 입주가 타당,55.0,65.0,75.0,80.0
12514,2010.01.29 20:28,[유가증권시장 공시] KPX케미칼 / 삼성전자 / 삼양통상 등,45.0,55.0,65.0,70.0
12515,2010.01.29 17:54,"삼성전자, IT업체 세계1위 등극",70.0,80.0,90.0,95.0
12516,2010.01.29 15:47,"삼성전자, 4개 주력사업 모두 조단위 수익 내",60.0,70.0,80.0,85.0
12517,2010.01.30 12:11,삼성전자 납품 중소형주 주목하라,50.0,60.0,70.0,75.0
12518,2010.02.01 17:10,"삼성전자, 日규슈에 연구소 설립",45.0,55.0,65.0,70.0
12519,2010.02.02 18:46,"삼성전자 와이브로, 캐리비안도 넘었다",50.0,60.0,70.0,75.0
12520,2010.02.03 17:32,삼성전자 반도체기술 무더기 유출,30.0,40.0,50.0,55.0
12521,2010.02.03 16:00,"삼성전자, 와이파이 탑재 전자책 출시",55.0,65.0,75.0,80.0
12522,2010.02.04 17:58,"삼성전자·포스코, 다보스 100대기업에 올라",60.0,70.0,80.0,85.0
12523,2010.02.04 17:55,"삼성전자 ""스마트폰 판매 3배 늘릴것""",50.0,60.0,70.0,75.0
12524,2010.02.04 17:48,"박준현 삼성증권 사장, ""규제완화 속도내야`금융 삼성전자`나와""",40.0,50.0,60.0,65.0
12525,2010.02.08 17:29,"삼성전자 - 日 샤프, LCD 특허분쟁 종결",45.0,55.0,65.0,70.0
12526,2010.02.09 17:11,"삼성전자, 베일 벗은 풀터치폰 `몬테`",50.0,60.0,70.0,75.0
12527,2010.02.09 09:17,삼성전자-샤프 LCD `특허 소송 취하` 합의,45.0,55.0,65.0,70.0
12528,2010.02.09 04:00,"맥쿼리그룹 부회장  ""한국 금융사는 삼성전자와 해외 동반진출 왜 못해""",35.0,45.0,55.0,60.0
12529,2010.02.10 18:31,"삼성전자, MWC서 4G기술 대거 선보인다",50.0,60.0,70.0,75.0
12530,2010.02.10 17:18,하나銀 - 삼성전자 스마트폰 업무제휴,45.0,55.0,65.0,70.0
12531,2010.02.11 07:50,삼성생명 임원들 전자 방문 왜?,40.0,50.0,60.0,65.0
12532,2010.02.16 17:13,"신종균 삼성전자 사장 ""웨이브 상반기 국내 출시""",50.0,60.0,70.0,75.0
12533,2010.02.16 17:13,삼성전자 휴대전화 북미시장 1위,55.0,65.0,75.0,80.0
12534,2010.02.17 09:11,"삼성전자 휴대폰, 북미시장 장악",40.0,50.0,60.0,65.0
12535,2010.02.17 04:00,"호암 100년, 삼성전자는 세계 최대 IT기업 성장",60.0,70.0,80.0,85.0
12536,2010.02.18 17:29,삼성·LG전자 3DTV 3월 결투,55.0,65.0,75.0,80.0
12537,2010.02.21 17:38,삼성전자 3D TV 개발 주역이 밝히는 성공 뒷얘기,50.0,60.0,70.0,75.0
12538,2010.02.22 17:33,삼성전자 배당금 1조1854억 푼다,45.0,55.0,65.0,70.0
12539,2010.02.22 17:29,삼성전자 수원에 제3연구소,50.0,60.0,70.0,75.0
12540,2010.02.22 16:48,[IR52 장영실상] 삼성전자 `블루레이 플레이어용 엔진`,50.0,60.0,70.0,75.0
12541,2010.02.22 15:13,[존경받는 기업] 삼성전자·포스코·현대차 올스타기업 `빅3`,60.0,70.0,80.0,85.0
12542,2010.02.23 20:40,[유가증권시장 공시] S&T대우 / POSCO / 삼성전자 등,45.0,55.0,65.0,70.0
12543,2010.02.23 17:48,"김순택 삼성전자 부회장 ""삼성전자 솔루션 기업으로 변신중""",50.0,60.0,70.0,75.0
12544,2010.02.23 04:00,삼성전자 이사회 이사수 줄인다,45.0,55.0,65.0,70.0
12545,2010.02.24 16:57,"삼성전자, 세계 첫 40나노 4Gb DDR3 양산",55.0,65.0,75.0,80.0
12546,2010.02.24 07:42,삼성전자 누적연봉제 도입,40.0,50.0,60.0,65.0
12547,2010.02.28 16:53,"삼성전자, 올 캐나다 매출 30% 신장 기대",50.0,60.0,70.0,75.0
12548,2010.03.01 19:26,삼성전자 풀HD TV,45.0,55.0,65.0,70.0
12549,2010.03.01 18:31,[기자 24시] 금융의 삼성전자와 포스코,40.0,50.0,60.0,65.0
12550,2010.03.01 17:58,"투자전략팀장의 추천주, LG디스플레이ㆍ삼성전자",45.0,55.0,65.0,70.0
12551,2010.03.02 17:42,19일 금요일은 `주총의 날`…삼성전자·LG화학등 299社,50.0,60.0,70.0,75.0
